nct_id,intervention_id,name,description,title
NCT01116648,73883297,Magnetic Resonance Imaging,Undergo MRI,Arm II (olaparib)
NCT01116648,73883298,Multigated Acquisition Scan,Undergo MUGA,Arm I (cediranib maleate and olaparib)
NCT01116648,73883298,Multigated Acquisition Scan,Undergo MUGA,Arm II (olaparib)
NCT01116648,73883299,Olaparib,Given PO,Arm I (cediranib maleate and olaparib)
NCT01116648,73883299,Olaparib,Given PO,Arm II (olaparib)
NCT01945775,74260724,talazoparib,Until progression or unacceptable toxicity develops,talazoparib
NCT01945775,74260725,Physician's-Choice,"Capecitabine, Eribulin, Gemcitabine or Vinorelbine",Physician's-Choice
NCT03330847,74272173,Olaparib Continuous (28-Day cycle) 300 mg BD.,"Two (2) 150 mg olaparib tablets should be taken at the same time each day, approximately 12 hours apart with one glass of water (approximately 250 mL).",Olaparib monotherapy
NCT03330847,74272174,Ceralasertib 160 mg OD + olaparib continuous 300 mg BD (28-day cycle).,Patients will be administered Ceralasertib OD at 160 mg from Day 1 to Day 7 (inclusive) of every 28-day cycle.,Olaparib+Ceralasertib
NCT03330847,74272175,Adavosertib 150 mg BD + olaparib 200 mg BD (21-day cycle).,Patients will be administered adavosertib BD at 150mg from Day 1 to Day 3 and Day 8 to Day 10.,Olaparib+adavosertib
NCT01905592,73592748,niraparib,300 mg (3x100 mg capsules) once daily until progression or unacceptable toxicity develops,niraparib
NCT01905592,73592749,Physician's choice,"Choice of 4 standard of care metastatic breast cancer chemotherapies, until progression or unacceptable toxicity develops",Physician's choice
NCT01506609,73609197,Placebo,,Placebo with Carboplatin and Paclitaxel
NCT01506609,73609198,Veliparib,,Veliparib with Carboplatin and Paclitaxel
NCT01506609,73609198,Veliparib,,Veliparib with Temozolomide
NCT01506609,73609199,Carboplatin,,Placebo with Carboplatin and Paclitaxel
NCT01506609,73609199,Carboplatin,,Veliparib with Carboplatin and Paclitaxel
NCT01506609,73609200,Temozolomide,,Veliparib with Temozolomide
NCT01506609,73609201,Paclitaxel,,Placebo with Carboplatin and Paclitaxel
NCT01506609,73609201,Paclitaxel,,Veliparib with Carboplatin and Paclitaxel
NCT01306032,73958486,ABT-888,PARP enzymes are critical for maintaining genomic stability by regulating a variety of DNA repair mechanisms. Individuals with deleterious mutations in the BRCA1 or BRCA2 tumor suppressor genes have an increased risk of developing breast and ovarian cancers due to impaired or defective DNA damage repair; these individuals have an increased susceptibility to DNA-damaging agents and PARP inhibitors. Inhibition of PARP inhibits the repair of DNA damage caused by alkylating agents such as cyclophosphamide. Metronomic cyclophosphamide has demonstrated efficacy in several tumor types. The PARP inhibitor ABT-888 has been shown to potentiate the action of cyclophosphamide in xenograft models. This combination is well tolerated in a Phase I study and showing promising activity.,BRCA-positive Ovarian Cancer: ABT-888 + Cyclophosphamide
NCT01306032,73958486,ABT-888,PARP enzymes are critical for maintaining genomic stability by regulating a variety of DNA repair mechanisms. Individuals with deleterious mutations in the BRCA1 or BRCA2 tumor suppressor genes have an increased risk of developing breast and ovarian cancers due to impaired or defective DNA damage repair; these individuals have an increased susceptibility to DNA-damaging agents and PARP inhibitors. Inhibition of PARP inhibits the repair of DNA damage caused by alkylating agents such as cyclophosphamide. Metronomic cyclophosphamide has demonstrated efficacy in several tumor types. The PARP inhibitor ABT-888 has been shown to potentiate the action of cyclophosphamide in xenograft models. This combination is well tolerated in a Phase I study and showing promising activity.,Non-Hodgkin's: ABT-888 + Cyclophosphamide
NCT01306032,73958486,ABT-888,PARP enzymes are critical for maintaining genomic stability by regulating a variety of DNA repair mechanisms. Individuals with deleterious mutations in the BRCA1 or BRCA2 tumor suppressor genes have an increased risk of developing breast and ovarian cancers due to impaired or defective DNA damage repair; these individuals have an increased susceptibility to DNA-damaging agents and PARP inhibitors. Inhibition of PARP inhibits the repair of DNA damage caused by alkylating agents such as cyclophosphamide. Metronomic cyclophosphamide has demonstrated efficacy in several tumor types. The PARP inhibitor ABT-888 has been shown to potentiate the action of cyclophosphamide in xenograft models. This combination is well tolerated in a Phase I study and showing promising activity.,Triple-negative Breast Cancer: ABT-888 + Cyclophosphamide
NCT01306032,73958487,Cyclophosphamide,,BRCA- positive Ovarian Cancer: Cyclophosphamide Alone
NCT01306032,73958487,Cyclophosphamide,,BRCA-positive Ovarian Cancer: ABT-888 + Cyclophosphamide
NCT01306032,73958487,Cyclophosphamide,,Non-Hodgkin's: ABT-888 + Cyclophosphamide
NCT01306032,73958487,Cyclophosphamide,,Non-Hodgkin's: Cyclophosphamide Alone
NCT01306032,73958487,Cyclophosphamide,,Triple-negative Breast Cancer: ABT-888 + Cyclophosphamide
NCT01306032,73958487,Cyclophosphamide,,Triple-negative Breast Cancer: Cyclophosphamide Alone
NCT02163694,73643609,Veliparib Placebo,"Supplied as 40 mg, 50 mg, or 100 mg capsules for oral administration twice daily (BID) on Days -2 through 5 of a 21-day cycle.",Veliparib Placebo with Carboplatin and Paclitaxel
NCT02163694,73643610,Veliparib,"Supplied as 40 mg, 50 mg, or 100 mg capsules for oral administration twice daily (BID) on Days -2 through 5 of a 21-day cycle.",Veliparib with Carboplatin and Paclitaxel
NCT02163694,73643611,Carboplatin,Administered intravenously over approximately 15 to 30 minutes at an area under the curve (AUC) of 6 mg/mL/min immediately following paclitaxel infusion on Day 1 of every cycle. The duration of carboplatin infusion may be lengthened according to institutional guidelines.,Veliparib Placebo with Carboplatin and Paclitaxel
NCT02163694,73643611,Carboplatin,Administered intravenously over approximately 15 to 30 minutes at an area under the curve (AUC) of 6 mg/mL/min immediately following paclitaxel infusion on Day 1 of every cycle. The duration of carboplatin infusion may be lengthened according to institutional guidelines.,Veliparib with Carboplatin and Paclitaxel
NCT02163694,73643612,Paclitaxel,"Administered by intravenous infusion over approximately 1 hour at a dose of 80 mg/m² of body-surface area (BSA) on Days 1, 8, and 15 of each 21-day cycle. Paclitaxel is to be infused prior to carboplatin on Day 1. Dosing of veliparib/placebo is to be completed before the carboplatin or paclitaxel infusions.",Veliparib Placebo with Carboplatin and Paclitaxel
NCT02163694,73643612,Paclitaxel,"Administered by intravenous infusion over approximately 1 hour at a dose of 80 mg/m² of body-surface area (BSA) on Days 1, 8, and 15 of each 21-day cycle. Paclitaxel is to be infused prior to carboplatin on Day 1. Dosing of veliparib/placebo is to be completed before the carboplatin or paclitaxel infusions.",Veliparib with Carboplatin and Paclitaxel
NCT02000622,74000274,Olaparib,"Patients will be administered olaparib orally twice daily (bid) at 300 mg. Two (2) x 150 mg olaparib tablets should be taken at the same times each morning and evening of each day, approximately 12 hours apart with approximately 240 mL of water.",Olaparib
NCT02000622,74000275,Physician's choice chemotherapy,"Investigators will declare one of the following regimens:

Capecitabine 2500 mg/m2 po daily (divided in 2 doses) x 14 days, repeat every 21 days
Vinorelbine 30 mg/m2 IV Day 1 and Day 8, repeat every 21 days
Eribulin 1.4 mg/m2 IV Day 1 and Day 8, repeat every 21 days",Physician's choice chemotherapy
